Code,Disease_Name,Symptoms,Search_Quality,Core_Terms
SM3F,Gastritis disorder,"There may be no symptoms but, when symptoms are present, the most common is upper abdominal pain. Other possible symptoms include nausea and vomiting, bloating, indigestion, loss of appetite and heartburn. Complications may include stomach bleeding, stomach ulcers, and stomach tumors. (Source: Gastritis)",Wikipedia match,gastritis
SM3G,Hernia disorder,"A hernia is the abnormal exit of tissue or an organ, such as the bowel, through the wall of the cavity in which it normally resides. The term is also used for the normal development of the intestinal tract, referring to the retraction of the intestine from the extra-embryonal navel coelom into the abdomen in the healthy embryo at about 71⁄2 weeks. (Source: Hernia)",Wikipedia match,hernia
SM3H,Nausea disorder,"Nausea is a diffuse sensation of unease and discomfort, sometimes perceived as an urge to vomit. It can be a debilitating symptom if prolonged and has been described as placing discomfort on the chest, abdomen, or back of the throat. (Source: Nausea)",Wikipedia match,nausea
SM3J,Retching disorder,Treatments include medication and correction of the fluid and electrolyte balance. (Source: Retching),Wikipedia match,retching
SM3K,Abdominal lumps disorder,The abdomen is the front part of the torso between the thorax (chest) and pelvis in humans and in other vertebrates. The area occupied by the abdomen is called the abdominal cavity. (Source: Abdomen),Wikipedia match,"abdominal, lumps"
SM3L,Vomiting disorder,Vomiting is the forceful expulsion of the contents of one's stomach through the mouth and sometimes the nose. (Source: Vomiting),Wikipedia match,vomiting
SM3Y,abdominal cavity disorders,The abdominal cavity is a large body cavity in humans and many other animals that contains organs. It is a part of the abdominopelvic cavity. (Source: Abdominal cavity),Wikipedia match,"abdominal, cavity"
SM3Z,"Abdominal cavity disorders (TM2),",The abdominal cavity is a large body cavity in humans and many other animals that contains organs. It is a part of the abdominopelvic cavity. (Source: Abdominal cavity),Wikipedia match,"abdominal, cavity"
,Liver and Spleen disorders,"The spleen is an organ found in almost all vertebrates. Similar in structure to a large lymph node, it acts primarily as a blood filter. (Source: Spleen)",Wikipedia match,"liver, spleen"
SM40,Liver abscess disorder,Common causes are abdominal conditions such as appendicitis or diverticulitis due to haematogenous spread through the portal vein. (Source: Liver abscess),Wikipedia match,"liver, abscess"
SM41,Jaundice disorder,"Jaundice in adults is typically a sign indicating the presence of underlying diseases involving abnormal heme metabolism, liver dysfunction, or biliary-tract obstruction. The most commonly associated symptoms of jaundice are itchiness, pale feces, and dark urine. (Source: Jaundice)",Wikipedia match,jaundice
SM42,Hepatomegaly disorder,"It is a non-specific medical sign, having many causes, which can broadly be broken down into infection, hepatic tumours, and metabolic disorder. Often, hepatomegaly presents as an abdominal mass. Depending on the cause, it may sometimes present along with jaundice. (Source: Hepatomegaly)",Wikipedia match,hepatomegaly
SM43,Hepatitis disorder,"Some people or animals with hepatitis have no symptoms, whereas others develop yellow discoloration of the skin and whites of the eyes (jaundice), poor appetite, vomiting, tiredness, abdominal pain, and diarrhea. (Source: Hepatitis)",Wikipedia match,hepatitis
SM44,Splenomegaly disorder,"Splenomegaly is one of the four cardinal signs of hypersplenism which include: some reduction in number of circulating blood cells affecting granulocytes, erythrocytes or platelets in any combination; a compensatory proliferative response in the bone marrow; and the potential for correction of these abnormalities by splenectomy. Splenomegaly is usually associated with increased workload, which suggests that it is a response to hyperfunction. It is therefore not surprising that splenomegaly is associated with any disease process that involves abnormal red blood cells being destroyed in the spleen. (Source: Splenomegaly)",Wikipedia match,splenomegaly
SM4Y,liver and Spleen disorders,"The spleen is an organ found in almost all vertebrates. Similar in structure to a large lymph node, it acts primarily as a blood filter. (Source: Spleen)",Wikipedia match,"liver, spleen"
SM4Z,"Liver and Spleen disorders (TM2),","The spleen is an organ found in almost all vertebrates. Similar in structure to a large lymph node, it acts primarily as a blood filter. (Source: Spleen)",Wikipedia match,"liver, spleen"
,- - - - Anorectal disorders (TM2),Skipped - Not a specific disease,Skipped,
SM50,Proctalgia disorder,"Proctalgia fugax, a variant of levator ani syndrome, is a severe, episodic pain in the regions of the rectum and anus. It can be caused by cramping of the levator ani muscle, particularly in the pubococcygeal part. (Source: Proctalgia fugax)",Wikipedia match,proctalgia
SM51,Anal fissure disorder,"An anal fissure is a break or tear in the skin of the anal canal. Anal fissures may be noticed by bright red anal bleeding on toilet paper and undergarments, or sometimes in the toilet. (Source: Anal fissure)",Wikipedia match,"anal, fissure"
SM52,Fistula in ano disorder,Anal fistula is a chronic abnormal communication between the anal canal and the perianal skin. An anal fistula can be described as a narrow tunnel with its internal opening in the anal canal and its external opening in the skin near the anus. (Source: Anal fistula),Wikipedia match,"fistula, ano"
SM53,Haemorrhoids disorder,The signs and symptoms of hemorrhoids depend on the type present. Symptoms frequently get better after a few days. (Source: Hemorrhoid),Wikipedia match,haemorrhoids
SM54,Proctitis disorder,"Proctitis or anusitis is an inflammation of the anus and the lining of the rectum, affecting only the last 6 inches of the rectum. (Source: Proctitis)",Wikipedia match,proctitis
SM55,Rectal prolapse disorder,"A rectal prolapse occurs when walls of the rectum have prolapsed to such a degree that they protrude out of the anus and are visible outside the body. However, most researchers agree that there are 3 to 5 different types of rectal prolapse, depending on whether the prolapsed section is visible externally, and whether the full or only partial thickness of the rectal wall is involved. (Source: Rectal prolapse)",Wikipedia match,"rectal, prolapse"
SM56,Anal abscess disorder,"Anorectal abscess is an abscess adjacent to the anus. Most cases of perianal abscesses are sporadic, though there are certain situations which elevate the risk for developing the disease, such as diabetes mellitus, Crohn's disease, chronic corticosteroid treatment and others. (Source: Anorectal abscess)",Wikipedia match,"anal, abscess"
SM5Y,anorectal disorders,PubMed findings: Sodergren Hemorrhoidal Symptom Severity Score as a Guide for Treatment of Hemorrhoidal Disease: A Cross-Sectional Study.,PubMed match,anorectal
SM5Z,"Anorectal disorders (TM2),",PubMed findings: Sodergren Hemorrhoidal Symptom Severity Score as a Guide for Treatment of Hemorrhoidal Disease: A Cross-Sectional Study.,PubMed match,"anorectal, (tm2),"
SM70,Flank pain disorder,"Abdominal pain, also known as a stomach ache, is a symptom associated with both non-serious and serious medical issues. (Source: Abdominal pain)",Wikipedia match,"flank, pain"
SM71,Anorexia disorder,"Anorexia nervosa (AN), often referred to simply as anorexia, is an eating disorder characterized by food restriction, body image disturbance, fear of gaining weight, and an overpowering desire to be thin. (Source: Anorexia nervosa)",Wikipedia match,anorexia
SM72,Bowel inflammation disorder,"Inflammatory bowel disease (IBD) is a group of inflammatory conditions of the colon and small intestine, with Crohn's disease and ulcerative colitis (UC) being the principal types. Crohn's disease affects the small intestine and large intestine, as well as the mouth, esophagus, stomach and the anus, whereas UC primarily affects the colon and the rectum. (Source: Inflammatory bowel disease)",Wikipedia match,"bowel, inflammation"
SM73,Infantile tenesmus disorder,PubMed findings: Intestinal manifestations of invasive diarrheas and their diagnosis.,PubMed match,"infantile, tenesmus"
SM74,Hiccough disorder,"Once triggered, the reflex causes a strong contraction of the diaphragm followed about a quarter of a second later by closure of the epiglottis, a structure inside of the throat, which results in the ""hic"" sound. (Source: Hiccup)",Wikipedia match,hiccough
SM75,Dynamic intestinal obstruction disorder,"The gastrointestinal tract is the tract or passageway of the digestive system that leads from the mouth to the anus. The tract is the largest of the body's systems, after the cardiovascular system. (Source: Gastrointestinal tract)",Wikipedia match,"dynamic, intestinal"
SM76,Severe vomiting and diarrhoea disorder,Vomiting is the forceful expulsion of the contents of one's stomach through the mouth and sometimes the nose. (Source: Vomiting),Wikipedia match,"severe, vomiting"
SM7Y,gastro-intestinal disorders,"Gastrointestinal diseases refer to diseases involving the gastrointestinal tract, namely the esophagus, stomach, small intestine, large intestine and rectum; and the accessory organs of digestion, the liver, gallbladder, and pancreas. (Source: Gastrointestinal disease)",Wikipedia match,gastro-intestinal
SM7Z,"Gastro-intestinal disorders (TM2),","The gastrointestinal tract is the tract or passageway of the digestive system that leads from the mouth to the anus. The tract is the largest of the body's systems, after the cardiovascular system. (Source: Gastrointestinal tract)",Wikipedia match,"gastro-intestinal, (tm2),"
,Urinary and reproductive system disorders,"Unlike most organ systems, the sexes of differentiated species often have significant differences. (Source: Reproductive system)",Wikipedia match,"reproductive system, urinary"
,Urinary system disorders,"The urinary system, also known as the urinary tract or renal system, is a part of the excretory system of vertebrates. In humans and placental mammals, it consists of the kidneys, ureters, bladder, and the urethra. (Source: Urinary system)",Wikipedia match,urinary system
SM80,Renal abscess disorder,"Signs and symptoms of abscesses include redness, pain, warmth, and swelling. (Source: Abscess)",Wikipedia match,"renal, abscess"
SM81,Retention of urine disorder,"When of sudden onset, symptoms include an inability to urinate and lower abdominal pain. When of gradual onset, symptoms may include loss of bladder control, mild lower abdominal pain, and a weak urine stream. (Source: Urinary retention)",Wikipedia match,"retention, urine"
SM82,Insufficiency of the urinary bladder disorder,"The urinary system, also known as the urinary tract or renal system, is a part of the excretory system of vertebrates. In humans and placental mammals, it consists of the kidneys, ureters, bladder, and the urethra. (Source: Urinary system)",Wikipedia match,"insufficiency, urinary"
SM83,Renal colic disorder,"Renal colic, also known as ureteric colic, is characterized by
severe abdominal pain that is spasmodic in nature. (Source: Renal colic)",Wikipedia match,"renal, colic"
SM84,Nephritis disorder,"Nephritis is inflammation of the kidneys and may involve the glomeruli, tubules, or interstitial tissue surrounding the glomeruli and tubules. It is one of several different types of nephropathy. (Source: Nephritis)",Wikipedia match,nephritis
SM85,Cystitis disorder,"Symptoms from a lower urinary tract infection include suprapubic pain, painful urination (dysuria), frequency and urgency of urination despite having an empty bladder. Symptoms of a kidney infection, on the other hand, are more systemic and include fever or flank pain usually in addition to the symptoms of a lower UTI. Symptoms may be vague or non-specific at the extremities of age. (Source: Urinary tract infection)",Wikipedia match,cystitis
SM86,Wound of the urinary bladder disorder,"The urinary system, also known as the urinary tract or renal system, is a part of the excretory system of vertebrates. In humans and placental mammals, it consists of the kidneys, ureters, bladder, and the urethra. (Source: Urinary system)",Wikipedia match,"wound, urinary"
SM87,Dysuria disorder,Dysuria refers to painful or uncomfortable urination. (Source: Dysuria),Wikipedia match,dysuria
SM88,Dribbling of urine disorder,"In sports, dribbling is maneuvering a ball by one player while moving in a given direction, avoiding defenders' attempts to intercept the ball. A successful dribble will bring the ball past defenders legally and create opportunities to score. (Source: Dribbling)",Wikipedia match,"dribbling, urine"
SM89,Thick urine disorder,"Urine, excreted by the kidneys, is a liquid containing excess water and water-soluble nitrogen-rich by-products of metabolism including urea, uric acid, and creatinine, which must be cleared from the bloodstream. Urinalysis detects these nitrogenous wastes in mammals. (Source: Urine)",Wikipedia match,"thick, urine"
SM8A,Haematuria disorder,"Common causes of hematuria include urinary tract infection (UTI), kidney stones, viral illness, trauma, bladder cancer, and exercise. These causes are grouped into glomerular and non-glomerular causes, depending on the involvement of the glomerulus of the kidney. (Source: Hematuria)",Wikipedia match,haematuria
SM8B,Urinary incontinence disorder,"It is a common and distressing problem, which may have a significant effect on quality of life. People may be too embarrassed to seek medical help and attempt to self-manage the symptom in secrecy from others. (Source: Urinary incontinence)",Wikipedia match,"urinary, incontinence"
SM8C,Urinary stone disorder,A bladder stone is a stone found in the urinary bladder. (Source: Bladder stone),Wikipedia match,"urinary, stone"
SM8D,Polyuria disorder,"Polyuria is usually viewed as a symptom or sign of another disorder, but it can be classed as a disorder, at least when its underlying causes are not clear. (Source: Polyuria)",Wikipedia match,polyuria
SM8E,Oliguria disorder,"The decreased output of urine may be a sign of dehydration, kidney failure, hypovolemic shock, hyperosmolar hyperglycemic nonketotic syndrome (HHNS), multiple organ dysfunction syndrome, urinary obstruction/urinary retention, diabetic ketoacidosis (DKA), pre-eclampsia, and urinary tract infections, among other conditions. (Source: Oliguria)",Wikipedia match,oliguria
SM8Y,urinary system disorders,"The urinary system, also known as the urinary tract or renal system, is a part of the excretory system of vertebrates. In humans and placental mammals, it consists of the kidneys, ureters, bladder, and the urethra. (Source: Urinary system)",Wikipedia match,urinary system
SM8Z,"Urinary system disorders (TM2),","The urinary system, also known as the urinary tract or renal system, is a part of the excretory system of vertebrates. In humans and placental mammals, it consists of the kidneys, ureters, bladder, and the urethra. (Source: Urinary system)",Wikipedia match,"urinary system, (tm2),"
,Female Reproductive System disorders,"The human female reproductive system is made up of the internal and external sex organs that function in the reproduction of new offspring. The reproductive system is immature at birth and develops at puberty to be able to release matured ova from the ovaries, facilitate their fertilization, and create a protective environment for the developing fetus during pregnancy. (Source: Female reproductive system)",Wikipedia match,"reproductive system, female"
SM90,Amenorrhoea disorder,Amenorrhea or amenorrhoea is the absence of a menstrual period in a female organism who has reached reproductive age. Physiological states of amenorrhoea are most commonly seen during pregnancy and lactation (breastfeeding). (Source: Amenorrhea),Wikipedia match,amenorrhoea
SM91,Endocervicitis disorder,PubMed findings: Quantitative assessment of placental alpha macroglobulin-1 for predicting impending preterm delivery in asymptomatic women with a short cervix.,PubMed match,endocervicitis
SM92,Bartholin's cyst disorder,"Small cysts may result in minimal or no symptoms. If there are no symptoms, no treatment is needed. (Source: Bartholin's cyst)",Wikipedia match,"bartholin's, cyst"
SM93,Leucorrhoea disorder,"There are many causes of leukorrhea, the usual one being estrogen imbalance. It is usually a non-pathological symptom secondary to inflammatory conditions of the vagina or cervix. (Source: Leukorrhea)",Wikipedia match,leucorrhoea
SM94,Female infertility disorder,"Female infertility refers to infertility in women, which is the inability to conceive after sexual intercourse. It affects an estimated 48 million women, globally. (Source: Female infertility)",Wikipedia match,"female, infertility"
SM95,Vaginitis disorder,"Symptoms may include itching, burning, pain, discharge, and a bad smell. (Source: Vaginitis)",Wikipedia match,vaginitis
SM96,Dysmenorrhoea disorder,"Symptoms typically last less than three days. Other symptoms may include back pain, diarrhea or nausea. (Source: Dysmenorrhea)",Wikipedia match,dysmenorrhoea
SM97,Hypomenorrhoea disorder,"Hypomenorrhea or hypomenorrhoea, also known as short or scanty periods, is extremely light menstrual blood flow. It is the opposite of heavy periods or hypermenorrhea which is more properly called menorrhagia. (Source: Hypomenorrhea)",Wikipedia match,hypomenorrhoea
SM98,Dysfunctional uterine bleeding disorder,"The term ""dysfunctional uterine bleeding"" was used when no underlying cause was present. (Source: Abnormal uterine bleeding)",Wikipedia match,"dysfunctional, uterine"
SM99,Uterine polyps disorder,"Small blood vessels may be present, particularly in large polyps. (Source: Endometrial polyp)",Wikipedia match,"uterine, polyps"
SM9A,Uterine prolapse disorder,"Symptoms may include vaginal fullness, pain with sexual intercourse, difficulty urinating, and urinary incontinence. Risk factors include older age, pregnancy, vaginal childbirth, obesity, chronic constipation, and chronic cough. (Source: Uterine prolapse)",Wikipedia match,"uterine, prolapse"
SM9B,Vaginismus disorder,Vaginismus is a condition in which involuntary muscle spasm interferes with vaginal intercourse or other penetration of the vagina. This often results in pain with attempts at sex. (Source: Vaginismus),Wikipedia match,vaginismus
SM9C,Metritis disorder,"Metritis is inflammation of the wall of the uterus, whereas endometritis is inflammation of the functional lining of the uterus, called the endometrium. The term pelvic inflammatory disease (PID) is often used for metritis. (Source: Metritis)",Wikipedia match,metritis
SM9Y,female Reproductive System disorders,"The human female reproductive system is made up of the internal and external sex organs that function in the reproduction of new offspring. The reproductive system is immature at birth and develops at puberty to be able to release matured ova from the ovaries, facilitate their fertilization, and create a protective environment for the developing fetus during pregnancy. (Source: Female reproductive system)",Wikipedia match,"reproductive system, female"
SM9Z,"Female Reproductive System disorders (TM2),","Unlike most organ systems, the sexes of differentiated species often have significant differences. (Source: Reproductive system)",Wikipedia match,"reproductive system, female, (tm2),"
,Male Reproductive System disorders,"The male reproductive system consists of a number of sex organs that play a role in the process of human reproduction. These organs are located on the outside of the body, and within the pelvis. (Source: Male reproductive system)",Wikipedia match,"reproductive system, male"
SN00,Balanitis disorder,Balanitis is inflammation of the glans penis. Balanoposthitis is the proper term when the foreskin is also affected. (Source: Balanitis),Wikipedia match,balanitis
SN01,Hydrocele disorder,"Provided there is no hernia present, it goes away without treatment in the first year. (Source: Hydrocele)",Wikipedia match,hydrocele
SN02,Erectile dysfunction disorder,"Erectile dysfunction (ED), also referred to as impotence, is a form of sexual dysfunction in males characterized by the persistent or recurring inability to achieve or maintain a penile erection with sufficient rigidity and duration for satisfactory sexual activity. (Source: Erectile dysfunction)",Wikipedia match,"erectile, dysfunction"
SN03,Oligospermia disorder,"Often, semen with a decreased sperm concentration may also show significant abnormalities in sperm morphology and motility. (Source: Oligospermia)",Wikipedia match,oligospermia
SN04,Mustard- size boils on penis disorder,"Size in general is the magnitude or dimensions of a thing. More specifically, geometrical size can refer to three geometrical measures: length, area, or volume. (Source: Size)",Wikipedia match,"mustard-, size"
SN05,Orchitis disorder,"Orchitis is inflammation of the testicles. It can also involve swelling, pains, and frequent infection, particularly of the epididymis, as in epididymitis. (Source: Orchitis)",Wikipedia match,orchitis
SN06,Penile growth disorder,"In human anatomy, the penis is an external sex organ through which males urinate and ejaculate, as in other placental mammals. Together with the testes and surrounding structures, the penis functions as part of the male reproductive system. (Source: Human penis)",Wikipedia match,"penile, growth"
SN07,Priapism disorder,"Priapism is a condition in which a penis remains erect for hours in the absence of stimulation or after stimulation has ended. There are three types: ischemic (low-flow), nonischemic (high-flow), and recurrent ischemic (intermittent). (Source: Priapism)",Wikipedia match,priapism
SN08,Prostatic enlargement disorder,"On either side of the urethral crest is a slightly depressed fossa, the prostatic sinus, the floor of which is perforated by numerous apertures, the orifices of the prostatic ducts from the lateral lobes of the prostate. (Source: Prostatic sinus)",Wikipedia match,"prostatic, enlargement"
SN09,Spermatorrhoea disorder,"A wet dream, sex dream, or sleep orgasm, is a spontaneous occurrence of sexual arousal during sleep that includes ejaculation and orgasm for a male, and vaginal lubrication and/or orgasm for a female. (Source: Nocturnal emission)",Wikipedia match,spermatorrhoea
SN0A,Phimosis disorder,Phimosis is a condition in which the foreskin of the penis cannot stretch to allow it to be pulled back past the glans. A balloon-like swelling under the foreskin may occur with urination. (Source: Phimosis),Wikipedia match,phimosis
SN0Y,male Reproductive System disorders,"The male reproductive system consists of a number of sex organs that play a role in the process of human reproduction. These organs are located on the outside of the body, and within the pelvis. (Source: Male reproductive system)",Wikipedia match,"reproductive system, male"
SN0Z,"Male Reproductive System disorders (TM2),","Unlike most organ systems, the sexes of differentiated species often have significant differences. (Source: Reproductive system)",Wikipedia match,"reproductive system, male, (tm2),"
,Pregnancy and childbirth related disorders,"Childbirth, also known as labour, parturition and delivery, is the completion of pregnancy, where one or more fetuses exits the internal environment of the mother via vaginal delivery or caesarean section and becomes a newborn to the world. In 2019, there were about 140. (Source: Childbirth)",Wikipedia match,"pregnancy, childbirth"
SN10,Decreased breastmilk disorder,"Breast milk or mother's milk is milk produced by the mammary glands in the breasts of women. Breast milk is the primary source of nutrition for newborn infants, comprising fats, proteins, carbohydrates, and a varying composition of minerals and vitamins. (Source: Breast milk)",Wikipedia match,"decreased, breastmilk"
SN11,Vitiated breast milk disorder,The breasts are two prominences located on the upper ventral region of the torso among humans and other primates. Both sexes develop breasts from the same embryological tissues. (Source: Breast),Wikipedia match,"vitiated, breast"
SN12,Recurrent pregnancy loss disorder,"RPL has been associated with several risk factors including parental and genetic factors, congenital and acquired anatomical conditions, lifestyle factors, endocrine disorders, thrombophila, immunological factors, and infections. RPL can have a significant impact on the psychological well-being of couples and has been associated with higher levels of depression, anxiety, and stress. (Source: Recurrent miscarriage)",Wikipedia match,"recurrent, pregnancy"
SN1Y,pregnancy and childbirth related disorders,"Childbirth, also known as labour, parturition and delivery, is the completion of pregnancy, where one or more fetuses exits the internal environment of the mother via vaginal delivery or caesarean section and becomes a newborn to the world. In 2019, there were about 140. (Source: Childbirth)",Wikipedia match,"pregnancy, childbirth"
SN1Z,"Pregnancy and childbirth related disorders (TM2),","Childbirth, also known as labour, parturition and delivery, is the completion of pregnancy, where one or more fetuses exits the internal environment of the mother via vaginal delivery or caesarean section and becomes a newborn to the world. In 2019, there were about 140. (Source: Childbirth)",Wikipedia match,"pregnancy, childbirth"
SN30,Gonorrhoea disorder,"Gonorrhea or gonorrhoea, colloquially known as the clap, is a sexually transmitted infection (STI) caused by the bacterium Neisseria gonorrhoeae. Infection may involve the genitals, mouth, or rectum. (Source: Gonorrhea)",Wikipedia match,gonorrhoea
SN31,Syphillis disorder,"The signs and symptoms depend on the stage it presents: primary, secondary, latent or tertiary. The primary stage classically presents with a single chancre, though there may be multiple sores. Latent syphilis has no symptoms and can last years. (Source: Syphilis)",Wikipedia match,syphillis
SN3Y,urinary and reproductive system disorders,"Unlike most organ systems, the sexes of differentiated species often have significant differences. (Source: Reproductive system)",Wikipedia match,"reproductive system, urinary"
SN3Z,"Urinary and reproductive system disorders (TM2),","Unlike most organ systems, the sexes of differentiated species often have significant differences. (Source: Reproductive system)",Wikipedia match,"reproductive system, urinary, (tm2),"
,"Skin, nail and hair disorders","PubMed findings: Clinical Photography in Dermatology: A Cross-Sectional Analysis From the Patient's Perspective in a Tertiary Care Center in Tamil Nadu, India.",PubMed match,"skin,, nail"
,- - - - Skin disorders (TM2),Skipped - Not a specific disease,Skipped,
SN40,Dermatitis disorder,"Dermatitis is a term used for different types of skin inflammation, typically characterized by itchiness, redness and a rash. (Source: Dermatitis)",Wikipedia match,dermatitis
SN41,Discoloration of body disorder,"PubMed findings: Obesity and Venous Thromboembolism: Mechanisms, Clinical Implications, and Prevention Strategies With a Focus on Bariatric Surgery.",PubMed match,"discoloration, body"
SN42,Dryness of skin disorder,"Skin is the layer of usually soft, flexible outer tissue covering the body of a vertebrate animal, with three main functions: protection, regulation, and sensation. (Source: Skin)",Wikipedia match,"dryness, skin"
SN43,Eczema disorder,"Dermatitis is a term used for different types of skin inflammation, typically characterized by itchiness, redness and a rash. (Source: Dermatitis)",Wikipedia match,eczema
SN44,Foul body smelling disorder,PubMed findings: Clinical features and outcomes of skull base osteoradionecrosis in nasopharyngeal carcinoma patients: a systematic review and meta-analysis.,PubMed match,"foul, body"
SN45,Excess of sweat disorder,"Perspiration, also known as sweat, is the fluid secreted by sweat glands in the skin of mammals. (Source: Perspiration)",Wikipedia match,"excess, sweat"
SN46,Scabies disorder,"The most common symptoms are severe itchiness and a pimple-like rash. In a first-ever infection, the infected person usually develops symptoms within two to six weeks. During a second infection, symptoms may begin within 24 hours. (Source: Scabies)",Wikipedia match,scabies
SN47,Dracunculosis disorder,"Dracunculiasis, also called Guinea-worm disease, is a parasitic infection by the Guinea worm. A person becomes infected by drinking water contaminated with Guinea-worm larvae that reside inside copepods. (Source: Dracunculiasis)",Wikipedia match,dracunculosis
SN48,Intertrigo disorder,"Areas of the body which are more likely to be affected by intertrigo include the inframammary fold, intergluteal cleft, armpits, and spaces between the fingers or toes. (Source: Intertrigo)",Wikipedia match,intertrigo
SN49,Integumentary disorder,"A skin condition, also known as cutaneous condition, is any medical condition that affects the integumentary system—the organ system that encloses the body and includes skin, nails, and related muscle and glands. (Source: Skin condition)",Wikipedia match,integumentary
SN4A,Psoriasis disorder,"Psoriasis is a long-lasting, noncontagious autoimmune disease characterized by patches of abnormal skin. (Source: Psoriasis)",Wikipedia match,psoriasis
SN4B,Ichthyosis disorder,"Ichthyosis is a family of genetic skin disorders characterized by dry, thickened, scaly skin. The more than 20 types of ichthyosis range in severity of symptoms, outward appearance, underlying genetic cause and mode of inheritance. (Source: Ichthyosis)",Wikipedia match,ichthyosis
SN4C,Scaling of scalp and forehead skin disorder,"The scalp is the area of the head where head hair grows. It is made up of skin, layers of connective and fibrous tissues, and the membrane of the skull. (Source: Scalp)",Wikipedia match,"scaling, scalp"
SN4D,Vitiligo disorder,"Vitiligo is a chronic autoimmune disorder that causes patches of skin to lose pigment or color. Treatment options include topical medications, light therapy, surgery and cosmetics. The condition causes patches of a light peachy color of any size, which can appear on any place on the body; in particular, nonsegmental vitiligo, the common form, tends to progress, affecting more of the skin over time. (Source: Vitiligo)",Wikipedia match,vitiligo
SN4E,Lentigo disorder,"A lentigo is a small pigmented spot on the skin with a clearly defined edge, surrounded by normal-appearing skin. It is a harmless (benign) hyperplasia of melanocytes which is linear in its spread. (Source: Lentigo)",Wikipedia match,lentigo
SN4F,Birth mark - blackish red disorder,"A birthmark is a congenital, benign irregularity on the skin which is present at birth or appears shortly after birth—usually in the first month. (Source: Birthmark)",Wikipedia match,"birth, mark"
SN4G,Melasma disorder,"Melasma is a tan or dark skin discoloration. Melasma is thought to be caused by sun exposure, genetic predisposition, hormone changes, and skin irritation. (Source: Melasma)",Wikipedia match,melasma
SN4H,Mole disorder,No reliable medical information found from available sources,No match,mole
SN4J,Black red skin lesion disorder,It is often used symbolically or figuratively to represent darkness. (Source: Black),Wikipedia match,"black, red"
SN4K,Urticaria disorder,"Hives, also known as urticaria, is a kind of skin rash with red or flesh-colored, raised, itchy bumps. Hives may burn or sting. (Source: Hives)",Wikipedia match,urticaria
SN4L,Wheal disorder,"PubMed findings: Demographic and clinical characteristics of chronic histaminergic angioedema and chronic urticaria with angioedema, a multicenter Italian experience.",PubMed match,wheal
SN4M,Boil disorder,"A boil, also called a furuncle, is a deep folliculitis, which is an infection of the hair follicle. It is most commonly caused by infection by the bacterium Staphylococcus aureus, resulting in a painful swollen area on the skin caused by an accumulation of pus and dead tissue. (Source: Boil)",Wikipedia match,boil
SN4N,Prickly heat disorder,"Miliaria, commonly known as heat rash, sweat rash, or prickly heat, is a skin disease marked by small, itchy rashes due to sweat trapped under the skin by clogged sweat-gland ducts. Similar to sunburn, miliaria is common in hot and humid conditions, such as in the tropics and during the summer. (Source: Miliaria)",Wikipedia match,"prickly, heat"
SN4P,Pemphigus vulgaris disorder,"As desmosomes are attacked, the layers of skin separate and the clinical picture resembles a blister. (Source: Pemphigus vulgaris)",Wikipedia match,"pemphigus, vulgaris"
SN4Q,Scar marks disorder,"A scar is an area of fibrous tissue that replaces normal skin after an injury. Scars result from the biological process of wound repair in the skin, as well as in other organs, and tissues of the body. (Source: Scar)",Wikipedia match,"scar, marks"
SN4R,Roughness of skin disorder,"Skin is the layer of usually soft, flexible outer tissue covering the body of a vertebrate animal, with three main functions: protection, regulation, and sensation. (Source: Skin)",Wikipedia match,"roughness, skin"
SN4S,Verruca disorder,A plantar wart is a wart occurring on the bottom of the foot or toes. Its color is typically similar to that of the skin. (Source: Plantar wart),Wikipedia match,verruca
SN4T,Herpes disorder,"Herpes simplex, often known simply as herpes, is a viral infection caused by the herpes simplex virus. Herpes infections are categorized by the area of the body that is infected. (Source: Herpes)",Wikipedia match,herpes
SN4U,Ring worm infection disorder,Symptoms begin four to fourteen days after exposure. (Source: Dermatophytosis),Wikipedia match,"ring, worm"
SN4V,Acne disorder,"Typical features of the condition include blackheads or whiteheads, pimples, oily skin, and possible scarring. (Source: Acne)",Wikipedia match,acne
SN4W,Ulcer disorder,""" Common forms of ulcers recognized in medicine include:Ulcer (dermatology), a discontinuity of the skin or a break in the skin. Pressure ulcers, also known as bedsores
Genital ulcer, an ulcer located on the genital area
Ulcerative dermatitis, a skin disorder associated with bacterial growth often initiated by self-trauma
Anal fissure, an ulcer or tear near the anus or within the rectum
Diabetic foot ulcer, a major complication of the diabetic foot
Callous ulcer, a chronic nonhealing ulcer with hard indurated base and inelastic margins
Corneal ulcer, an inflammatory or infective condition of the cornea
Mouth ulcer, an open sore inside the mouth. Ulcerative disposition, a disorder or discomfort that causes severe abdominal distress, often associated with chronic gastritis. (Source: Ulcer)",Wikipedia match,ulcer
SN5Y,skin disorders,"A skin condition, also known as cutaneous condition, is any medical condition that affects the integumentary system—the organ system that encloses the body and includes skin, nails, and related muscle and glands. (Source: Skin condition)",Wikipedia match,skin
SN5Z,"Skin disorders (TM2),","Skin is the layer of usually soft, flexible outer tissue covering the body of a vertebrate animal, with three main functions: protection, regulation, and sensation. (Source: Skin)",Wikipedia match,"skin, (tm2),"
,- - - - Nail disorders (TM2),Skipped - Not a specific disease,Skipped,
SN60,Brittle nails disorder,Onychorrexis refers to the presence of longitudinal ridges or splits in the nail plate — often running from the base to the tip of the nail. It can affect both fingernails and toenails. (Source: Onychorrhexis),Wikipedia match,"brittle, nails"
