Sr No.,NAMC_ID,NAMC_CODE,NAMC_term_DEVANAGARI,System,NAMC_TERM2,Tamil_term,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Definition
900,936,ED-6.7.2,रक्तजमसूरिका,Ayurveda,,,,,,,"the disorder is characterized by lōhitākārapiḍakā [blood like appearance], śīghrapākāḥ [sudden onset of suppuration], tanutvak [thin skin], bhinnā raktaṁ sravanti [discharge of blood on rupture], na atyarthaduṣṭaḥ [not much severe]"
901,937,ED-6.7.3,मांसगतमसूरिका,Ayurveda,,,,,,,"the disorder is characterized by kaṭhina-piḍakā [hard eruptions], snigdha-piḍakā [unctuous apprearance of eruptions], cirapākaḥ [take a long time to suppurate], ghanatvak [thick skin], gātraśūlaḥ [body pain], tr̥ṣā [thirst], kaṇḍūḥ [itching], jvaraḥ [fever], aratiḥ [distress/dicontent/restlessness]"
902,938,ED-6.7.4,मेदोगतमसूरिका,Ayurveda,,,,,,,"the disorder is characterized by maṇḍalākāra-piḍakā [rounded eruptions], mr̥du-piḍakā [soft on touch], kiñcit unnatam [slightly raised], ghōra jvaraparītam [associated with severe fever], sthūlaḥ [broad], snigdhapiḍakā [unctuous apprearance of eruptions], savēdanaḥ [associated with pain], sammōhaḥ [unconsciousness/confusion], aratiḥ [distress/dicontent/restlessness], santāpaḥ [burning sensation]"
903,939,ED-6.7.5,अस्थिगतमसूरिका,Ayurveda,,,,,,,"the disorder is characterized by kṣudra-piḍakā [small sized eruptions], gātrasamaḥ [colour of eruptions similar to skin], rūkṣaḥ [dry eruptions], cipiḍā [flat eruptions], kiñcidunnataḥ [slightly raised eruptions], bhr̥śasaṁmōhaḥ [marked confusion], vēdanā [pain], arati-saṁyutaḥ [severe distress/dicontent/restlessness], marmacchēdaḥ [affects /damage of marmasthāna (vital parts)], āśu-prāṇa-haraḥ [causes sudden death], bhramarēṇa iva viddhāni asthīni [pain in bones as if bitten by bee]"
904,940,ED-6.7.6,मज्जागतमसूरिका,Ayurveda,,,,,,,"the disorder is characterized by kṣudra-piḍakā [small sized eruptions], gātrasamaḥ [colour of eruptions similar to skin], rūkṣaḥ [dry eruptions], cipiḍā [flat eruptions], kiñcidunnataḥ [slightly raised eruptions], bhr̥śasaṁmōhaḥ [marked confusion], vēdanā [pain], arati-saṁyutaḥ [severe distress/dicontent/restlessness], marmacchēdaḥ [affects /damage of marmasthāna (vital parts)], āśu-prāṇa-haraḥ [causes sudden death], bhramarēṇa iva viddhāni asthīni [pain in bones as if bitten by bee]"
905,941,ED-6.7.7,शुक्रगतमसूरिका,Ayurveda,,,,,,,"the disorder is characterized by pakkabhāḥ(piḍakā) [suppurated appearance of eruptions], snigdha-piḍakā [unctuous apprearance of eruptions], sūkṣma-piḍakā [minute eruptions], atyarthavēdanā [extremely painful], staimityam [a sensation of being covered with wet clothes], aratiḥ [distress/dicontent/restlessness], saṁmōhaḥ [unconsciousness/confusion], dāhaḥ [burning sensation], unmādasamanvitaḥ [associated with insanity], dr̥śyatē na tu jīvitam [causes death]"
907,943,ED-6.9,असाध्य-मसूरिका,Ayurveda,,,,,,,"the disorder is characterized by pravālasadr̥śaḥ [having appearance similar to coral], jambūphalōpamaḥ [having appearance similar to jambūphalaḥ], lōhajālasamaḥ [having appearance similar to lōhajāla], atasīphalasannibhaḥ [having appearance similar to atasīphala], bahuvidhavarṇaḥ [having numerous colours], kāsaḥ [cough], hikkā [hiccup], pramōhaḥ [fainting/severe confusion], tīvrasudāruṇajvaraḥ [severe and fatal fever], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], aratiḥ [distress/dicontent/restlessness], mūrcchā [syncope/attacks of swooning], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], atighūrṇatā [abnormal appearance of eyes], mukhēna raktasrāvaḥ [bleeding from the mouth], nāsikābhyāṁ raktasrāvaḥ [bleeding through nose], cakṣuṣā raktasrāvaḥ [bleeding from eyes], kaṇṭhē ghurghurakaḥ [making ghur-ghur sound], śvasityatyarthavēdanam [painful breathing]"
908,944,SL81(ED-7),रक्तपित्तम्,Ayurveda,,,,,,,"It is characterised by bleeding from body orifices or beneath the skin. This may be explained by: (a) Aggravated pitta which brings about excitement of the blood, propelling it through the body orifices."
909,945,ED-7.1,रक्तपित्त-पूर्वरूपम्,Ayurveda,,,,,,,"the disorder is characterized by anannābhilāṣaḥ [disinclination for food], bhuktasya vidāhaḥ [heartburn after having food], śuktagandharasōdgāraḥ [fermented smell and taste in belch], amlagandharasōdgāraḥ [sour smell and taste in belch], abhīkṣṇaṁ cchardiḥ [frequent vomiting], charditasya baibhastyam [abhorrence towards vomitus], svarabhēdaḥ [hoarseness of voice], gātrāṇāṁ sadanam [weakness of body], paridāhaḥ [severe burning sensation], mukhāt dhūṁmāgamanamiva [feels as if fumes are coming from the mouth], lōhagandhāsyatvam [metallic smell in the mouth], lōhitagandhāsyatvam [smell of blood in the mouth], matsyagandhāsyatvam [fishy smell in the mouth], āmagandhāsyatvam [rancid smell in the mouth], rakta/harita/hāridra aṅgāvayavaḥ/varṇatā nayanādiṣu [reddish/greenish or yellowish discoloration of body parts/eyes etc.], rakta/harita/hāridra śakr̥t [reddish/greenish or yellowish discoloration of fecal matter], rakta/harita/hāridra mūtram [reddish/greenish or yellowish discoloration of urine], rakta/harita/hāridra svēdaḥ [reddish/greenish or yellowish discoloration of sweat], rakta/harita/hāridra lālā [reddish/greenish or yellowish discoloration of saliva], rakta/harita/hāridra siṅghāṇakaḥ [reddish/greenish or yellowish discoloration of nasal excreta], rakta/harita/hāridra āsyamalaḥ [reddish/greenish or yellowish discoloration of oral excreta], rakta/harita/hāridra karṇamalaḥ [reddish/greenish or yellowish discoloration of cerumen], rakta/harita/hāridra piḍakōlikā [reddish/greenish or yellowish discoloration of excreta of eye.], rakta/harita/hāridra piḍakā [reddish/greenish or yellowish discoloration of eruptions], aṅgavēdanā [body pain], abhīkṣṇaṁ lōhita-nīla-pīta-śyāva arciṣmatāṁ rūpāṇāṁ darśanam/svanē nīla-lōhita-pītavarṇānāṁ darśanam [seeing reddish/bluish/yellowish/blackish and sometimes shining objects in dreams], sadanam [exhaustion], śītakāmitvam/śītēcchā [desire for cold], kaṇṭhadhūmāyanam [fuming sensation in throat], lōhagandhi niḥśvāsaḥ [metallic odour in breath], śirōgurutvam [heavyness of head], aruciḥ [tastelessness], dhūmakaḥ [fuming sensation on belching], amlakaḥ [sour belching/eructation], kāsaḥ [cough], śvāsa [breathlessness/difficult breathing], bhramaḥ [giddiness or dizziness], klamaḥ [exhaustion without exertion], svarakṣayaḥ [diminution of voice/loss of voice], nīlalōhitapītānāṁ varṇānāṁ avivēcanam [inability to differentiate blue, red and yellow colours]"
910,946,ED-7.2,ऊर्ध्वग-रक्तपित्तम्,Ayurveda,,,,,,,"the disorder is characterized by karṇāt rakta pracyavanam [bleeding through ear], nāsikāt rakta pracyavanam [bleeding through nose], nētrāt rakta pracyavanam [bleeding through eyes], āsyāt rakta pracyavanam [bleeding through mouth]"
911,947,ED-7.3,अधोग-रक्तपित्तम्,Ayurveda,,,,,,,"the disorder is characterized by gudāt raktasrāva [bleeding per rectum], mēḍhrāt raktasrāva [bleeding through penis], yōnitaḥ raktasrāvaḥ [bleeding through vagina]"
913,949,ED-7.5,वातजरक्तपित्तम्,Ayurveda,,,,,,,"the disorder is characterized by śyāvaraktapravr̥ttiḥ [blacksh blood discharge], aruṇaraktapravr̥ttiḥ [slightly reddish blood discharge], saphēnaraktapravr̥ttiḥ [frothy blood discharge], tanuraktapravr̥ttiḥ [reduced viscocity of bood discharge], rūkṣaraktapravr̥ttiḥ [reduced unctoousness of bood discharge]"
914,950,ED-7.6,पित्तजरक्तपित्तम्,Ayurveda,,,,,,,"the disorder is characterized by kaṣāyābha-raktapravr̥ttiḥ [ochre coloured blood discharge], kr̥ṣṇa-raktapravr̥ttiḥ [black coloured blood discharge], gōmūtrasannibha-raktapravr̥ttiḥ [blood discharge resembling colour of cow's urine], mēcakāgāradhūmābha-raktapravr̥ttiḥ [blood like eyes of peacocks tail or else may be like soot or collyrium], añjanābha-raktapravr̥ttiḥ [blood discharge resembling collyrium]"
915,951,ED-7.7,कफजरक्तपित्तम्,Ayurveda,,,,,,,"the disorder is characterized by sāndra-raktapravr̥ttiḥ [a viscid blood passing], sapāṇḍu-raktapravr̥ttiḥ [pale blood passing], sasnēha-raktapravr̥ttiḥ [oleaginous blood passing], picchila-raktapravr̥ttiḥ [sleepary blood passing], kaphānvita-raktapravr̥ttiḥ [mucoid blood passing]"
916,952,ED-7.8,सान्निपातिक-रक्तपित्तम्,Ayurveda,,,,,,,the disorder is characterized by saṁsr̥ṣṭaliṅgam [mixed symptoms of all types of raktapitta]
921,957,ED-8.1,वातरक्त-पूर्वरूपम्,Ayurveda,,,,,,,"the disorder is characterized by svēdaḥ atyartham [excessive sweating], asvēdaḥ [anhidrosis/lack of sweating], kārṣṇyam [blackish discoloration of body], sparśājñatvam [loss of touch sensation], kṣatēऽtiruk [severe pain on injury/when hit], sandhiśaithilyam [dislocation of joint/lax joints], ālasyam [lethargy], sadanam/sādaḥ [exhaustion], piḍakōdgamaḥ [appearance of eruptions], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi nistōdaḥ [pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi sphuraṇam [tremors in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi bhēdaḥ [splitting pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi gurutvam [heaviness in knee/leg/thigh/shoulder/hands/feet/body parts or joints], jānu/jaṅghā/ūru/kaṭi/aṁsa/hasta/pāda/aṅga/sandhi suptiḥ [numbness in knee/leg/thigh/shoulder/hands/feet/body parts or joints], kaṇḍūḥ [itching], sandhiṣu ruk [pain in joints], bhūtvā bhūtvā naśyati vā asakr̥t [repeated sudden onset], vaivarṇyam [discolouration], maṇḍalōtpattiḥ [appearance of rounded eruptions], ślathāṅgatā [flaccidity/laxity in body parts]"
922,958,ED-8.2,उत्तान-वातरक्तम्,Ayurveda,,,,,,,"the disorder is characterized by kaṇḍūḥ [itching], dāhaḥ [burning sensation], ruk [pain], āyāmaḥ [feeling of stretching], tōdaḥ [pricking pain], sphuraṇam [pulsating sensation], kuñcanam [contraction], śyāvaraktā tvak [brownish black discoloration of skin], tvagbāhyē tāmrā [coppery discoloration on exterior of skin], lōhita-tvak [reddish discoloration of skin]"
923,959,ED-8.3,गम्भीर-वातरक्तम्,Ayurveda,,,,,,,"the disorder is characterized by śvayathuḥ [swelling], stabdhaḥ [stiffness], kaṭhinaḥ/grathitaḥ [hardness], bhr̥śam artiḥ [sudden onset of pain], śyāvaḥ [bluish black colour], tāmravarṇaḥ [copper colour], dāhaḥ [burning sensation], tōdaḥ [pricking pain], sphuraṇam [pulsating sensation], pākaḥ [inflammation/suppuration], rujā [pain], vidāhaḥ [internal burning sensation], khañjatā [lameness], pāṅgulyam [limping of both leg], vakratā [deformities]"
927,963,ED-8.5.2(SP14),पित्तज-वातरक्तम्,Ayurveda,,,,,,,"It is characterised by pain, swelling and tenderness of the foot especially great toe. This may be explained by: (a) Derangement of vata and blood associated with pitta."
928,964,ED-8.5.3,कफजवातरक्तम्,Ayurveda,,,,,,,"the disorder is characterized by staimityam [a sensation of being covered with wet clothes], gurutā [heaviness], suptiḥ [insensitive to touch], snigdhatvam [unctuousness of body], śītatāḥ [coldness], kaṇḍūḥ [itching], mandaruk [mild pain]"
929,965,ED-8.5.4,रक्तजवातरक्तम्,Ayurveda,,,,,,,"the disorder is characterized by śōthē atiruk [severe pain in the swelling], śōthē atitōdaḥ [pricking pain in the swelling], tāmraśōthaḥ [coppery coloured swelling], cimicimāyanam [tingling sensation], snigdha-rukṣaiḥ na śamanam (śōphasya) [it subsides neither with fatty nor with dry medicaments], kaṇḍūḥ [itching], klēdasamanvitaḥ(śōphaḥ) [moist discharge/wetness]"
933,969,ED-8.7,असाध्य-वातरक्तम्,Ayurveda,,,,,,,"the disorder is characterized by asvapnaḥ [insomnia/sleeplessness], arōcakaḥ [tastelessness], śvāsaḥ [breathlessness/difficult breathing], māṁsakōthaḥ [suppuration of māṁsa], śirōgrahaḥ [stiffness of head], mūrcchā [syncope/attacks of swooning], madaḥ [intoxication], rujā [pain], tr̥̄ṣṇā [thirst], jvaraḥ [fever], mōhaḥ [semiconsciousness or stupefaction], vēpanam [shivering/tremors], hikkā [hiccup], pāṅgulyam [limping of both legs in paraplegia], visarpaḥ [spreading cellulitis/erysipelas], pākaḥ [inflammation/suppuration], tōdaḥ [pricking pain], bhramaḥ [giddiness or dizziness], klamaḥ [exhaustion without exertion], aṅgulīvakratā [deformity of fingers], sphōṭaḥ [blister], dāhaḥ [burning sensation], marmagrahaḥ [afflicted with marma site], arbudaḥ [tumor], mōhaḥ [confusion/delirium], saṁprasrāvī [oozing of discharges], vivarṇam [discolouration], stabdham [stiffness], arbudakr̥t [leading to tumour]"
936,972,ED-9,विद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by gambhīrasthaḥ/mahāmūlaḥ sudāruṇaḥ granthiḥ [deep seated fatal swelling], hr̥dyē tīvravēdanā [severe pain in cardiac region], klōmni tīvravēdanā [severe pain in klōma], yakr̥ti tīvravēdanā [severe pain in liver region], plīhni tīvravēdanā [severe pain in splenic region], kukṣau tīvravēdanā [severe pain in flanks], vr̥kkayōḥ tīvravēdanā [severe pain in renal region], nābhyāṁ tīvravēdanā [severe pain in navel region], vaṅkṣaṇē tīvravēdanā [severe pain in groins], bastau tīvravēdanā [severe pain in basti/urinary bladder region], śīghravidāhaḥ [sudden onset of suppuration], śōpham [odema], vr̥ttaśōpham [rounded swelling], āyataśōpham [lengthened swelling]"
937,973,ED-9.1,वातजविद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by kr̥ṣṇa-varṇaḥ (śōphaḥ) [black swelling], aruṇa-varṇaśōphaḥ [slightly red coloured swelling], paruṣaśōphaḥ [rough oedema], bhr̥śamatyarthavēdanaḥ [excessively severe pain], citrōtthānaprapākaḥ/cirōtthānapākaḥ [varied types of onset and suppuration], tanusrāvaḥ [thin watery discharge], rūkṣasrāvaḥ [less unctuous discharge], aruṇasrāvaḥ [slightly reddish coloured discharge], śyāvavarṇasrāvaḥ [blackish coloured discharge], phēnilasrāvaḥ [frothy discharge], vyadhaḥ [penetrating type of pain], chēdaḥ [cutting type of pain], bhramaḥ [giddiness or dizziness], ānāhaḥ [barborygmus with distention], śabdaḥ/śabdavān [sound from swelling], sphuraṇam/spandaḥ [pulsating sensation], sarpaṇam [spreading nature of swelling], śyāvavarṇaśōphaḥ [blackish discoloration of swelling], viṣamasaṁsthitiḥ [irregular appearance]"
938,974,ED-9.2,पित्तजविद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling]"
939,975,ED-9.3,कफजविद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by śarāvasadr̥śaḥ [like an earthen saucer], pāṇḍuḥ [pallor], śītaḥ/śītakaḥ [cold], stabdhaḥ [stiffness], alpavēdanaḥ [mild pain], cirōtthānaprapākaḥ [develops slowly and suppurates after a long time], sitāsrāvaḥ.śvētasrāvaḥ [whitish discharge], picchilasrāvaḥ [slimy discharge], bahalasrāvaḥ [profuse discharge], bahusrāvaḥ [excessive/copious discharge], kaṇḍū/kaṇḍūyutaḥ [itching], jr̥mbhā [yawning], utklēśaḥ [nausea/provocation of dōṣa], aruciḥ [tastelessness], gauravaḥ [heaviness]"
940,976,ED-9.4,सान्निपातजविद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by nānāvarṇam [variegated colouration], nānārujā [vartious type of pain], nānāsrāvaḥ [associated with varied discharges], ghāṭālō [markedly raised, uneven and extensive], viṣamō [irregular nature], mahān [broad/extensive], viṣama-pākaḥ [suppurates irregularly], saṁkīrṇaḥ [mixed features]"
941,977,ED-9.5,रक्तजविद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by kr̥ṣṇasphōṭavr̥taḥ [covered by black blisters], śyāvavarṇam [blackish discolouration], tīvradāhaḥ [severe burning sensation], rujākaraḥ [painful], jvaraḥ [fever], pittavidradhiliṅgam [features of paittika abscess], pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling]"
942,978,ED-9.6,बाह्यविद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by kaṇḍarābha [resembles tendon], mahārujā [severe pain]"
943,979,ED-9.7,अन्तर्विद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by bāhyavidradhilakṣaṇam [clinical features similar to those of external abscesses], kaṇḍarābha [resembles tendon], mahārujā [severe pain], valmīkavatsamunnaddham [resembling the shape of anthill], gulmarūpiṇam [resembling gūlma]"
944,980,SM56(ED-9.7.1),गुदजविद्रधिः,Ayurveda,,,,,,,"It is characterised by painful suppurative swelling in anal region which may be associated with ulceration, painful defecation. This may be explained by: (a) Aggravation of pitta affecting skin, fat, muscle tissue in the anal region resulting in swelling and suppuration."
949,985,SM80(ED-9.7.6),वृक्कजविद्रधिः,Ayurveda,,,,,,,"It is characterised by burning micturition, haematuria, pus discharge, rigors, chills and fever. This may be explained by: (a) Aggravation of pittadosha affecting kidney."
952,988,SM40(ED-9.7.9),यकृज्जविद्रधिः,Ayurveda,,,,,,,"It is characterised by heaviness, tenderness at the site of the liver, associated with loss of appetite, breathlessness, hiccoughs, restlessness, high fever, pain, redness of face and eyes. This may be explained by: (a) Aggravation of pitta resulting in painful suppurative swelling in the liver."
954,990,ED-9.8,क्षतज विद्रधिः/आगन्तुज-विद्रधिः,Ayurveda,,,,,,,"the disorder is characterized by jvaraḥ [fever], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], pittavidradhilakṣaṇam [has the clinical features of a paittika abscess], pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling]"
964,1001,ED-10.4,वातजविसर्पः,Ayurveda,,,,,,,"the disorder is characterized by bhramaḥ [giddiness or dizziness], davathuḥ [burning sensation of eye], pipāsā [thirst], nistōdaḥ [pricking type of pain], śūlaḥ [severe pain], aṅgamardaḥ [generalised bodyache], udvēṣṭanam [cramps], kampaḥ [tremors], jvaraḥ [fever], tamakaḥ [black outs], kāsaḥ [cough], asthibhēdaḥ [breaking/splitting type of pain in the bones], sandhibhēdaḥ [breaking/splitting pain in joints], asthiviślēṣaṇam [feel of loosening in bones], sandhiviślēṣaṇam [loosening /dislocation of joints], vēpanam [shivering/tremors], arōcakam [tastelessness], avipākaḥ [indigestion], cakṣuṣōḥ ākulatvam [querulous eyes], asrāgamanam [bleeding], aṅgēṣu pipīlikā iva sañcāraḥ [tingling sensation], śyāvābhāsaśōthaḥ [geyish coloured oedema], aruṇābhāsaśōthaḥ [slightly reddish coloured oedema], atimātraṁ bhēdaḥ [excessive tearing sensation], atimātraṁ āyāmaḥ [excessive stretching], atimātraṁ saṅkōcaḥ [excessive contracture], atimātraṁ harṣaḥ [horripilation], atimātraṁ sphuraṇam [excessive twitching], vātajvara-samavyathā [constitutional features as in vātaja fever], pakvabhinnē vātavraṇōtpattiḥ [wound/ulcer formation after rupture of rippened (absess)]"
965,1002,ED-10.5,पित्तजविसर्पः,Ayurveda,,,,,,,"the disorder is characterized by jvaraḥ [fever], tr̥ṣṇā [thirst], mūrchā [syncope/attacks of swooning], mōhaḥ [confusion/delirium], chardiḥ [vomitting/emesis], arōcakaḥ [tastelessness], aṅgabhēdaḥ [breaking pain in body], atimātraṁ svēdaḥ [excessive perspiration], antardāhaḥ [burning sensation inside the body], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], śirōruk [headache], cakṣuṣōrākulatvam [querulous eyes], asvapnam [insomnia/sleeplessness], aratiḥ [distress/dicontent/restlessness], bhramaḥ [giddiness or dizziness], śītavāritarṣaḥ atimātram [excessive desire for cold water], śītavātatarṣaḥ atimātram [excessive desire for cold air], haritanētratvam [greenish tint in eyes/excessive icterus], haritamūtratvam [green coloured urine], haritavarcastvam [greenish tint in stool], haritarūpadarśanam [greenish vision (of patient)], hāridranētratvam [yellow coloured eyes], hāridramūtratvam [yellowish discoluration of urine], hāridravarcastvam [excess yellow tint to stool], hāridrarūpadarśanam [yellowish vision (of patient)], visarpayuktāvakāśasya tāmratvam [pinkish colouration of visarpa affected area], visarpayuktāvakāśasya haritatvam [greenish colouration of visarpa affected area], visarpayuktāvakāśasya hāridratvam [yellowish colouration of visarpa affected area], visarpayuktāvakāśasya nīlatvam [bluish colouration of visarpa affected area], visarpayuktāvakāśasya kr̥ṣṇatvam [blackish colouration of visarpa affected area], visarpayuktāvakāśasya raktatvam [redness of visarpa affected area], utsēdaḥ [local swelling], atimātraṁ dāhaḥ [severe burning sensation], atimātrabhēdanam [excessive breaking pain], tāmrasrāvayuktasphōṭaḥ [eruption with pinkish discharge], haritasrāvayuktasphōṭaḥ [eruption with greenish discharge], hāridrasrāvayuktasphōṭaḥ [eruption with yellowish discharge], nīlasrāvayuktasphōṭaḥ [eruption with blueish discharge], kr̥ṣṇasrāvayuktasphōṭaḥ [eruption with blackish discharge], raktasrāvayuktasphōṭaḥ [eruptions with bloody discharge/with bleeding], drutagatiḥ [speedy/quick/swift gait], atilōhitaḥ(pīḍakā) [furuncle with deep red colour], pittajvaraliṅgaḥ [constitutional features of pittaja fever], pakvabhinnē pittavraṇōtpattiḥ [pitta dominant wound formation in rippened and ruptured (abscess)]"
966,1003,ED-10.6,कफजविसर्पः,Ayurveda,,,,,,,"the disorder is characterized by śītakaḥ [chills], śītajvaraḥ [fever with chills], gauravam [heaviness], nidrā [sleep], tandrā [drowsiness/lassitude], arōcakam [tastelessness], madhurāsyatvam [sweet taste in mouth], āsyōpalēpaḥ [sticky feel in mouth], niṣṭhīvikā [sputum/expectoration], chardiḥ [vomiting], ālasyam [lethargy], staimityam [a sensation of being covered with wet clothes], agnināśaḥ [loss of agni (digestive power)], daurbalyam [weakness], śvayathumān avakāśaḥ [affected area of body with swelling over it], pāṇḍu-avakāśaḥ [affected area of body with pallor over it], nātiraktāvakāśaḥ [affected area of body without much redness on it], snēhānvitāvakāśaḥ [area of body with unctuousness], suptyanvitāvakāśaḥ [affected area of body with numbness], stambhānvitāvakāśaḥ [affected area of body with stiffness], gauravānvitāvakāśaḥ [area of body with heaviness], alpavēdanāvakāśaḥ [affected area of body with mild pain], kr̥cchrapākīsphōṭaḥ [eruption which is difficult to rippen], cirakārīsphōṭaḥ/aśīghrapākaḥ [eruption which is late to rippen], bahalatvagupalēpayuktasphōṭaḥ [eruption covered with thick skin], śvētasphōṭaḥ [whitish colored eruption], pāṇḍusphōṭaḥ [blisters with pallor], prabhinnē śvētamāsrāvaḥ [whitish discharge after burst (abscess/eruption)], prabhinnē picchilamāsrāvaḥ [sticky discharge after burst (abscess/eruption)], prabhinnē tantumadāśrāvaḥ [fibrous discharge after burst (abscess/eruption)], prabhinnē ghanamāśrāvaḥ [thick discharge after burst (abscess/eruption)], prabhinnē anubaddhamāśrāvaḥ [clotted discharge after burst (abscess/eruption)], prabhinnē snigdhamāśrāvaḥ [unctuousdischarge after burst (abscess/eruption)], ūrdhvakāyē gurusthirajālāvatataḥ [covered with thick and heavy netted appearance in upper body ..(ref needed for proper context)], snigdha-bahulatvak upalēpaḥ [covering of thick and unctuous skin], anuṣaṁgī [chronic (associated over a long period)], śvētanakham [white nails], śvētanayanam [white eyes], śvētavadanam [whitish face], śvētatvak [whitish skin], śvētamūtram [whitish urine], śvētavarcaḥ [whitish stool], mandaḥsaraṇam [slow (forward) movement], alparuk [mild pain], ugrakaṇḍū [excessive itching], kaṇḍūyutaḥ [associated with itching], snigdhaḥ [smooth/unctuous /oily], kaphajvara-samānaruk [constitutional features (or pain )as in a case of kaphaja fever], pakvabhinnē kaphavraṇōtpattiḥ [kapha dominant wound formation in rippened and ruptured (abscess)]"
967,1004,ED-10.7,अग्निविसर्पः/वातपित्तजविसर्पः/अग्निदाहज-विसर्पः,Ayurveda,,,,,,,"the disorder is characterized by chardiḥ [vomiting], atisāraḥ [diarrhoea], mūrcchā [syncope/attacks of swooning], dāhaḥ [burning sensation], mōhaḥ [confusion/delirium], jvaraḥ [fever], tamakaḥ [respiratory distress], arōcakaḥ [tastelessness], asthibhēdaḥ [breaking/splitting type of pain in the bones], sandhibhēdaḥ [breaking/splitting pain in joints], aṁgārairivākīryamānam [feels as if burnt with heated charcoal], tr̥ṭ [thirst], śāntāṁgāraprakāśam atiraktam [area becomes as cool down coal as black or red], agnidagdha iva sphōṭaḥ [blisters as after a thermal burn], śīghragati-yutaḥ [with quick speed], marmānusārī [associated with or progressing towards vital points (marma)]"
968,1005,ED-10.8,मर्मगत-अग्निविसर्पम्,Ayurveda,,,,,,,"the disorder is characterized by bhinatti aṅgāni [breaks down the organs/tissues], saṁjñā pramōhayati [takes away the conciosness or alertness], hikkāśvāsau janayati [generates hiccups and dyspnoea], nidrānāśaḥ [insomnia], pramūḍhasaṁjñā (nidrānāśē sati) [disoriented with insomnia], vyathitacētaḥ (nidrānāśē sati) [disturbed mind with insomnia], na sukhaṁ upalabhatē (nidrānāśē sati) [unhappy and having insomnia], aratiparītaḥ (nidrānāśē sati) [severe distress/dicontent/restlessness], sthānādāsanaṁ āsanāt śayyāṁ krāntumicchati [changes positions due to restlessness], kliṣṭabhūyiṣṭhaḥ āśu nidrāṁ bhajati [falls asleep while caught in complex condition], dīptāṁgārāvakīrṇavat [like burning coal], śāntāṁgārāsitaḥ [white like burnt coal], nīlaḥ [bluish], raktaḥ [red/blood], āśu cīyatē [accumulates/grows quickly]"
